image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.1,0.25,0,8,8,57,,,,,,,,,,,,,164.65795560000697,None,164.65795560000697,None,164.65795560000697,None,165.67212409997592,None,165.67212409997592,None,165.67212409997592,None,0.0,0.15,165.83868629997596,165.9585721999756,165.83868629997596,165.9585721999756,165.83868629997596,165.9585721999756,space,0.360499499947764,165.83868629997596,None,166.22723119996954,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,9,9,84,,,,,,,,,,,,,166.74367509997683,None,166.74367509997683,None,166.74367509997683,None,167.761255099962,None,167.761255099962,None,167.761255099962,None,0.0,0.15,167.97381950001,168.07384389999788,167.97381950001,168.07384389999788,167.97381950001,168.07384389999788,space,0.28747779998229817,167.97381950001,None,168.29129199997988,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.0,0.15,0,10,10,9,,,,,,,,,,,,,168.8070568999974,None,168.8070568999974,None,168.8070568999974,None,169.82344760000706,None,169.82344760000706,None,169.82344760000706,None,0.1,0.25,170.02342179999687,170.139958499989,170.02342179999687,170.139958499989,170.02342179999687,170.139958499989,space,0.9585693000117317,170.02342179999687,None,171.00811589998193,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.2,0.35,0,11,11,69,,,,,,,,,,,,,171.50860980001744,None,171.50860980001744,None,171.50860980001744,None,172.53555380000034,None,172.53555380000034,None,172.53555380000034,None,0.3,0.44999999999999996,172.68375219998416,172.88957729999674,172.68375219998416,172.88957729999674,172.68375219998416,172.88957729999674,space,3.4055140999844298,172.68375219998416,None,176.10664909996558,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,12,12,104,,,,,,,,,,,,,176.6222199999611,None,176.6222199999611,None,176.6222199999611,None,177.64428549999138,None,177.64428549999138,None,177.64428549999138,None,0.2,0.35,177.87246839998988,177.99005769996438,177.87246839998988,177.99005769996438,177.87246839998988,177.99005769996438,space,0.3539811999653466,177.87246839998988,None,178.25823380000656,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.0,0.15,0,13,13,4,,,,,,,,,,,,,178.7716127000167,None,178.7716127000167,None,178.7716127000167,None,179.78368569997838,None,179.78368569997838,None,179.78368569997838,None,0.3,0.44999999999999996,179.95533879997674,180.1223430999671,179.95533879997674,180.1223430999671,179.95533879997674,180.1223430999671,space,0.2809323000255972,179.95533879997674,None,180.26914119999856,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.2,0.35,0,14,14,67,,,,,,,,,,,,,180.77134400000796,None,180.77134400000796,None,180.77134400000796,None,181.79486919997726,None,181.79486919997726,None,181.79486919997726,None,0.0,0.15,181.98846620001132,182.20576929999515,181.98846620001132,182.20576929999515,181.98846620001132,182.20576929999515,space,0.33110630000010133,181.98846620001132,None,182.3416811999632,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,15,15,85,,,,,,,,,,,,,182.8555266999756,None,182.8555266999756,None,182.8555266999756,None,183.87018009996973,None,183.87018009996973,None,183.87018009996973,None,0.1,0.25,184.15393709996715,184.15393709996715,184.15393709996715,184.15393709996715,184.15393709996715,184.15393709996715,space,4.839121700031683,184.15393709996715,None,189.021371299983,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,16,16,102,,,,,,,,,,,,,189.53637079999316,None,189.53637079999316,None,189.53637079999316,None,190.54925539996475,None,190.54925539996475,None,190.54925539996475,None,0.5,0.65,190.76940459996695,190.90257079998264,190.76940459996695,190.90257079998264,190.76940459996695,190.90257079998264,space,0.3064379999996163,190.76940459996695,None,191.10392660001526,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.5,0.65,0,17,17,108,,,,,,,,,,,,,191.61950819997583,None,191.61950819997583,None,191.61950819997583,None,192.63608239998575,None,192.63608239998575,None,192.63608239998575,None,0.2,0.35,192.86889059998794,192.95295870001428,192.86889059998794,192.95295870001428,192.86889059998794,192.95295870001428,space,0.18740320001961663,192.86889059998794,None,193.08699069998693,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.5,0.65,0,18,18,119,,,,,,,,,,,,,193.60206269996706,None,193.60206269996706,None,193.60206269996706,None,194.61582519998774,None,194.61582519998774,None,194.61582519998774,None,0.1,0.25,194.81839109997964,194.93560089997482,194.81839109997964,194.93560089997482,194.81839109997964,194.93560089997482,space,0.27089510002406314,194.81839109997964,None,195.11891700001433,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,19,19,33,,,,,,,,,,,,,195.61854809999932,None,195.61854809999932,None,195.61854809999932,None,196.630559000012,None,196.630559000012,None,196.630559000012,None,0.5,0.65,196.88471469999058,197.13494379998883,196.88471469999058,197.13494379998883,196.88471469999058,197.13494379998883,space,0.42381240002578124,196.88471469999058,None,197.336805799976,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,20,20,54,,,,,,,,,,,,,197.85122519999277,None,197.85122519999277,None,197.85122519999277,None,198.8609857999836,None,198.8609857999836,None,198.8609857999836,None,0.05,0.2,199.0675872999709,199.2341454999987,199.0675872999709,199.2341454999987,199.0675872999709,199.2341454999987,space,0.2864743000245653,199.0675872999709,None,199.3850295000011,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,21,21,51,,,,,,,,,,,,,199.90095420001308,None,199.90095420001308,None,199.90095420001308,None,200.9129324000096,None,200.9129324000096,None,200.9129324000096,None,0.0,0.15,201.13381959998515,201.25058689998696,201.13381959998515,201.25058689998696,201.13381959998515,201.25058689998696,space,0.27363720000721514,201.13381959998515,None,201.4354466999648,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,22,22,91,,,,,,,,,,,,,201.93592630000785,None,201.93592630000785,None,201.93592630000785,None,202.9797535999678,None,202.9797535999678,None,202.9797535999678,None,0.0,0.15,203.20009369996842,203.2999034000095,203.20009369996842,203.2999034000095,203.20009369996842,203.2999034000095,space,0.2905153999454342,203.20009369996842,None,203.519650799979,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.3,0.45,0,23,23,89,,,,,,,,,,,,,204.0337619999773,None,204.0337619999773,None,204.0337619999773,None,205.04691959999036,None,205.04691959999036,None,205.04691959999036,None,0.05,0.2,205.23297469998943,205.34955859999172,205.23297469998943,205.34955859999172,205.23297469998943,205.34955859999172,space,1.1805143000092357,205.23297469998943,None,206.4335437999689,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.05,0.2,0,24,24,39,,,,,,,,,,,,,206.94932269997662,None,206.94932269997662,None,206.94932269997662,None,207.96189099998446,None,207.96189099998446,None,207.96189099998446,None,0.05,0.2,208.19910069997422,208.24904989998322,208.19910069997422,208.24904989998322,208.19910069997422,208.24904989998322,space,0.36374460003571585,208.19910069997422,None,208.58371699997224,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,images/light_grey_box,0,0.5,0.65,0,25,25,106,,,,,,,,,,,,,209.0988903999678,None,209.0988903999678,None,209.0988903999678,None,210.1106994000147,None,210.1106994000147,None,210.1106994000147,None,0.3,0.44999999999999996,210.28193040000042,210.51541599998018,210.28193040000042,210.51541599998018,210.28193040000042,210.51541599998018,space,0.43502899998566136,210.28193040000042,None,210.74910879996605,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,26,26,95,,,,,,,,,,,,,211.24861700000474,None,211.24861700000474,None,211.24861700000474,None,212.25915250001708,None,212.25915250001708,None,212.25915250001708,None,0.5,0.65,212.46488189999945,212.61486059997696,212.46488189999945,212.61486059997696,212.46488189999945,212.61486059997696,space,0.32578820001799613,212.46488189999945,None,212.81642039999133,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,27,27,93,,,,,,,,,,,,,213.33146790001774,None,213.33146790001774,None,213.33146790001774,None,214.35147729999153,None,214.35147729999153,None,214.35147729999153,None,0.05,0.2,214.54858289996628,214.71488970000064,214.54858289996628,214.71488970000064,214.54858289996628,214.71488970000064,space,0.17733350000344217,214.54858289996628,None,214.74979759997223,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,28,28,50,,,,,,,,,,,,,215.2667149999761,None,215.2667149999761,None,215.2667149999761,None,216.28023749997374,None,216.28023749997374,None,216.28023749997374,None,0.05,0.2,216.48087789997226,216.56406669999706,216.48087789997226,216.56406669999706,216.48087789997226,216.56406669999706,space,0.2773035999853164,216.48087789997226,None,216.78212489996804,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.05,0.2,0,29,29,37,,,,,,,,,,,,,217.29729959997348,None,217.29729959997348,None,217.29729959997348,None,218.30981379997684,None,218.30981379997684,None,218.30981379997684,None,0.0,0.15,218.49705369997537,218.71354590001283,218.49705369997537,218.71354590001283,218.49705369997537,218.71354590001283,space,0.22900229995138943,218.49705369997537,None,218.7480724999914,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,30,30,31,,,,,,,,,,,,,219.26364479999756,None,219.26364479999756,None,219.26364479999756,None,220.27648200001568,None,220.27648200001568,None,220.27648200001568,None,0.0,0.15,220.46323389996542,220.61328350001713,220.46323389996542,220.61328350001713,220.46323389996542,220.61328350001713,space,0.22623460000613704,220.46323389996542,None,220.71412249997957,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.3,0.45,0,31,31,99,,,,,,,,,,,,,221.23003079998307,None,221.23003079998307,None,221.23003079998307,None,222.2417199999909,None,222.2417199999909,None,222.2417199999909,None,0.2,0.35,222.49626079999143,222.62934189999942,222.49626079999143,222.62934189999942,222.49626079999143,222.62934189999942,space,2.2578822000068612,222.49626079999143,None,224.77961729996605,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,32,32,30,,,,,,,,,,,,,225.27918139996473,None,225.27918139996473,None,225.27918139996473,None,226.31072690000292,None,226.31072690000292,None,226.31072690000292,None,0.2,0.35,226.512052999984,226.64664649998304,226.512052999984,226.64664649998304,226.512052999984,226.64664649998304,space,4.608928899979219,226.512052999984,None,231.14624619996175,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.1,0.25,0,33,33,48,,,,,,,,,,,,,231.6611811000039,None,231.6611811000039,None,231.6611811000039,None,232.67336439999053,None,232.67336439999053,None,232.67336439999053,None,0.1,0.25,232.8235776000074,233.06070219998946,232.8235776000074,233.06070219998946,232.8235776000074,233.06070219998946,space,1.3946785000152886,232.8235776000074,None,234.24474699998973,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.5,0.65,0,34,34,109,,,,,,,,,,,,,234.76043709996156,None,234.76043709996156,None,234.76043709996156,None,235.773037499981,None,235.773037499981,None,235.773037499981,None,0.05,0.2,236.02685429999838,236.16000959998928,236.02685429999838,236.16000959998928,236.02685429999838,236.16000959998928,space,0.16232180001679808,236.02685429999838,None,236.21128180000233,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,35,35,40,,,,,,,,,,,,,236.72672049998073,None,236.72672049998073,None,236.72672049998073,None,237.7391076000058,None,237.7391076000058,None,237.7391076000058,None,0.5,0.65,238.02714979997836,238.11070979997749,238.02714979997836,238.11070979997749,238.02714979997836,238.11070979997749,space,0.10787909995997325,238.02714979997836,None,238.16278630000306,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.0,0.15,0,36,36,19,,,,,,,,,,,,,238.67804179998348,None,238.67804179998348,None,238.67804179998348,None,239.6954817000078,None,239.6954817000078,None,239.6954817000078,None,0.05,0.2,239.9425782999606,240.0426626999979,239.9425782999606,240.0426626999979,239.9425782999606,240.0426626999979,space,0.38995230000000447,239.9425782999606,None,240.3601759999874,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
