image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,textEndSceen.started,textEndSceen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,8,8,52,,,,,,,,,,,,,35.79165714106057,None,35.79165714106057,None,35.79165714106057,None,36.805355485063046,None,36.805355485063046,None,36.805355485063046,None,0.3,0.44999999999999996,36.96534411399625,37.125901525025256,36.96534411399625,37.125901525025256,36.96534411399625,37.125901525025256,space,0.16452220198698342,36.96534411399625,None,37.143795835087076,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.0,0.15,0,9,9,13,,,,,,,,,,,,,37.65823018504307,None,37.65823018504307,None,37.65823018504307,None,38.67184637405444,None,38.67184637405444,None,38.67184637405444,None,0.1,0.25,38.859255368006416,None,38.859255368006416,None,38.859255368006416,None,space,0.08635655406396836,38.859255368006416,None,38.959576018038206,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,10,10,40,,,,,,,,,,,,,39.47490015800577,None,39.47490015800577,None,39.47490015800577,None,40.49009005201515,None,40.49009005201515,None,40.49009005201515,None,0.3,0.44999999999999996,40.691207669093274,None,40.691207669093274,None,40.691207669093274,None,space,0.021038832957856357,40.691207669093274,None,40.72586167708505,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,11,11,104,,,,,,,,,,,,,41.241554468055256,None,41.241554468055256,None,41.241554468055256,None,42.25901706109289,None,42.25901706109289,None,42.25901706109289,None,0.2,0.35,42.474982497049496,None,42.474982497049496,None,42.474982497049496,None,space,0.03747857501730323,42.474982497049496,None,42.526595220086165,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.05,0.2,0,12,12,28,,,,,,,,,,,,,43.04189008299727,None,43.04189008299727,None,43.04189008299727,None,44.056768830050714,None,44.056768830050714,None,44.056768830050714,None,0.2,0.35,44.20040851808153,None,44.20040851808153,None,44.20040851808153,None,space,0.09123335697222501,44.20040851808153,None,44.30754798906855,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.2,0.35,0,13,13,79,,,,,,,,,,,,,44.80815822002478,None,44.80815822002478,None,44.80815822002478,None,45.822175479028374,None,45.822175479028374,None,45.822175479028374,None,0.1,0.25,46.12672311300412,46.17694299807772,46.12672311300412,46.17694299807772,46.12672311300412,46.17694299807772,space,12.585128778009675,46.12672311300412,None,58.72576371510513,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.1,0.25,0,14,14,59,,,,,,,,,,,,,59.24117043300066,None,59.24117043300066,None,59.24117043300066,None,60.25450425106101,None,60.25450425106101,None,60.25450425106101,None,0.1,0.25,60.52442587702535,60.59109095809981,60.52442587702535,60.59109095809981,60.52442587702535,60.59109095809981,space,0.1207293439656496,60.52442587702535,None,60.65895769908093,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,15,15,110,,,,,,,,,,,,,61.17470822506584,None,61.17470822506584,None,61.17470822506584,None,62.18846083409153,None,62.18846083409153,None,62.18846083409153,None,0.1,0.25,62.37409675004892,62.52439659903757,62.37409675004892,62.52439659903757,62.37409675004892,62.52439659903757,space,3.300998479942791,62.37409675004892,None,65.69036378106102,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.2,0.35,0,16,16,77,,,,,,,,,,,,,66.19112998608034,None,66.19112998608034,None,66.19112998608034,None,67.204752627993,None,67.204752627993,None,67.204752627993,None,0.5,0.65,67.4073524660198,67.50791270006448,67.4073524660198,67.50791270006448,67.4073524660198,67.50791270006448,space,0.13963600294664502,67.4073524660198,None,67.55866760003846,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.5,0.65,0,17,17,118,,,,,,,,,,,,,68.07428067305591,None,68.07428067305591,None,68.07428067305591,None,69.08961060002912,None,69.08961060002912,None,69.08961060002912,None,0.1,0.25,69.24383032904007,69.40762035001535,69.24383032904007,69.40762035001535,69.24383032904007,69.40762035001535,space,0.1853158650919795,69.24383032904007,None,69.44238665304147,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
