image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,textEndSceen.started,textEndSceen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,8,8,104,,,,,,,,,,,,,31.836880999966525,None,31.836880999966525,None,31.836880999966525,None,32.83695419994183,None,32.83695419994183,None,32.83695419994183,None,0.05,0.2,32.987003799993545,None,32.987003799993545,None,32.987003799993545,None,space,0.06724530004430562,32.987003799993545,None,33.07026920001954,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,9,9,30,,,,,,,,,,,,,33.570346600026824,None,33.570346600026824,None,33.570346600026824,None,34.57048599992413,None,34.57048599992413,None,34.57048599992413,None,0.0,0.15,34.720350399962626,34.88710980000906,34.720350399962626,34.88710980000906,34.720350399962626,34.88710980000906,space,0.16704490000847727,34.720350399962626,None,34.90378419996705,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,10,10,61,,,,,,,,,,,,,35.403822999913245,None,35.403822999913245,None,35.403822999913245,None,36.40390259993728,None,36.40390259993728,None,36.40390259993728,None,0.2,0.35,36.55389199999627,None,36.55389199999627,None,36.55389199999627,None,space,0.08363999996799976,36.55389199999627,None,36.65395860001445,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.5,0.65,0,11,11,118,,,,,,,,,,,,,37.153943500015885,None,37.153943500015885,None,37.153943500015885,None,38.17070299992338,None,38.17070299992338,None,38.17070299992338,None,0.3,0.44999999999999996,38.404059599968605,38.47071569995023,38.404059599968605,38.47071569995023,38.404059599968605,38.47071569995023,space,1.1838172000134364,38.404059599968605,None,39.60414970002603,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.0,0.15,0,12,12,5,,,,,,,,,,,,,40.10409609996714,None,40.10409609996714,None,40.10409609996714,None,41.10431720002089,None,41.10431720002089,None,41.10431720002089,None,0.3,0.44999999999999996,41.28761419991497,None,41.28761419991497,None,41.28761419991497,None,space,0.050586999976076186,41.28761419991497,None,41.35427529993467,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,13,13,45,,,,,,,,,,,,,41.8543151000049,None,41.8543151000049,None,41.8543151000049,None,42.854349999921396,None,42.854349999921396,None,42.854349999921396,None,0.05,0.2,43.104430299950764,43.2044277000241,43.104430299950764,43.2044277000241,43.104430299950764,43.2044277000241,space,0.8837169000180438,43.104430299950764,None,44.004473999957554,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,14,14,74,,,,,,,,,,,,,44.50452670000959,None,44.50452670000959,None,44.50452670000959,None,45.504631699994206,None,45.504631699994206,None,45.504631699994206,None,0.05,0.2,45.754582899971865,None,45.754582899971865,None,45.754582899971865,None,space,0.10037930007092655,45.754582899971865,None,45.871267599985,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,15,15,76,,,,,,,,,,,,,46.37133939994965,None,46.37133939994965,None,46.37133939994965,None,47.37131099996623,None,47.37131099996623,None,47.37131099996623,None,0.05,0.2,47.62138409994077,47.671413799980655,47.62138409994077,47.671413799980655,47.62138409994077,47.671413799980655,space,0.084570899954997,47.62138409994077,None,47.72141819994431,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.05,0.2,0,16,16,27,,,,,,,,,,,,,48.221469299984165,None,48.221469299984165,None,48.221469299984165,None,49.22154880000744,None,49.22154880000744,None,49.22154880000744,None,0.05,0.2,49.43822709994856,49.521572900004685,49.43822709994856,49.521572900004685,49.43822709994856,49.521572900004685,space,0.13365109998267144,49.43822709994856,None,49.58820619992912,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,17,17,64,,,,,,,,,,,,,50.08827539999038,None,50.08827539999038,None,50.08827539999038,None,51.0883888999233,None,51.0883888999233,None,51.0883888999233,None,0.05,0.2,51.288366799941286,None,51.288366799941286,None,51.288366799941286,None,space,0.13373909995425493,51.288366799941286,None,51.43839909997769,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
